"","source","value"
"1144","cgtn",-2
"1145","cgtn",-1
"1146","cgtn",-2
"1147","cgtn",-2
"1148","cgtn",2
"1149","cgtn",1
"1150","cgtn",2
"1151","cgtn",-2
"1152","cgtn",1
"1153","cgtn",-1
"1154","cgtn",-2
"1155","cgtn",1
"1156","cgtn",1
"1157","cgtn",-2
"1158","cgtn",-3
"1159","cgtn",-2
"1160","cgtn",-2
"1161","cgtn",-1
"1162","cgtn",-2
"1163","cgtn",2
"1164","cgtn",-2
"1165","cgtn",1
"1166","cgtn",-2
"1167","cgtn",-3
"1168","cgtn",2
"1169","cgtn",1
"1170","cgtn",-2
"1171","cgtn",-1
"1172","cgtn",-2
"1173","cgtn",-2
"1174","cgtn",-1
"1175","cgtn",-3
"1176","cgtn",1
"1177","cgtn",2
"1178","cgtn",1
"1179","cgtn",-2
"1180","cgtn",-2
"1181","cgtn",-2
"1182","cgtn",-2
"1183","cgtn",-2
"1184","cgtn",-3
"1185","cgtn",1
"1186","cgtn",1
"1187","cgtn",2
"1188","cgtn",2
"1189","cgtn",-2
"1190","cgtn",-2
"1191","cgtn",-3
"1192","cgtn",-2
"1193","cgtn",-2
"1194","cgtn",-2
"1195","cgtn",1
"1196","cgtn",2
"1197","cgtn",1
"1198","cgtn",-1
"1199","cgtn",-1
"1200","cgtn",-2
"1201","cgtn",1
"1202","cgtn",1
"1203","cgtn",-2
"1204","cgtn",-1
"1205","cgtn",-2
"1206","cgtn",-2
"1207","cgtn",-1
"1208","cgtn",-3
"1209","cgtn",2
"1210","cgtn",-2
"1211","cgtn",-1
"1212","cgtn",1
"1213","cgtn",-2
"1214","cgtn",1
"1215","cgtn",2
"1216","cgtn",1
"1217","cgtn",-2
"1218","cgtn",-1
"1219","cgtn",-1
"1220","cgtn",2
"1221","cgtn",-1
"1222","cgtn",-2
"1223","cgtn",1
"1224","cgtn",2
"1225","cgtn",1
"1226","cgtn",2
"1227","cgtn",-2
"1228","cgtn",1
"1229","cgtn",-2
"1230","cgtn",2
"1231","cgtn",2
"1232","cgtn",1
"1233","cgtn",-2
"1234","cgtn",-2
"1235","cgtn",-2
"1236","cgtn",1
"1237","cgtn",1
"1238","cgtn",-2
"1239","cgtn",-1
